,Unnamed: 0,Season,Bat_First,Field_First,Toss_Wins,Bat_Toss,Field_Toss,Win_by_Runs_avg,Win_by_Wickets_avg,Extras,Dots,Singles,Twos,Threes,Fours,Sixs,Total_Runs,Wickets_Taken,M,W,L,NR,Pts,NRR
Unnamed: 0,1.0,0.9946342162298029,0.0289522681292134,0.043460685860901314,0.025104448842933863,-0.36574824103654374,0.38587532404545305,0.03857783314501803,-0.03840427164579845,-0.34705968210354543,-0.1851550069912659,0.20951089714173604,0.16556921642254063,-0.07001353494129309,0.07329156581513273,0.288847975211621,0.20771730489448811,-0.006207814911125468,0.02153805088920351,0.014121852237717478,0.003220757144078984,-0.04301165056658971,0.009548579977685193,-5.425170829042731e-05
Season,0.9946342162298029,1.0,0.03897699304115913,0.03597964255886056,0.03690065987267045,-0.3579502603109636,0.3885845388941802,0.03332717958041513,-0.044505468182650436,-0.3437577474685448,-0.19864902978804022,0.22500433684878846,0.1696862968912845,-0.07486903148289063,0.08046304413077562,0.2948765286101014,0.21864977272162547,-0.006114379663045973,0.00662933648070878,0.007075952541613924,0.00717865264647735,-0.053571100190695026,0.0012302871942636397,0.0031681838284000623
Bat_First,0.0289522681292134,0.03897699304115913,1.0,-0.7290388050202486,0.008802234877744184,0.5496584962412653,-0.5386403509083807,0.04175859067116734,0.013418232742062539,0.11805616491634528,0.2385810284809086,0.39701865812903736,0.34474259385475864,0.18156597446871586,0.29094803048904666,0.2937989750506832,0.4330970051989479,0.2525391812537493,0.21928097787473713,0.1170269300129471,-0.0059362727202163295,-0.1413009902973718,0.10300835236587316,0.17527083572751254
Field_First,0.043460685860901314,0.03597964255886056,-0.7290388050202486,1.0,0.31463116546057857,-0.3213466705542922,0.5985039130291128,0.08508878718004256,-0.09885835471737635,0.13265115879755904,0.2822717806985554,0.20116458995275865,0.09253467350983961,-0.040969734466865346,0.23722728766761858,0.048473703440838393,0.20530898560771538,0.3302468219541727,0.20241815974770308,0.36729349963998154,-0.27946828759641784,-0.0810811370608195,0.3635217446279282,0.16961865476137733
Toss_Wins,0.025104448842933863,0.03690065987267045,0.008802234877744184,0.31463116546057857,1.0,0.4394301276317638,0.4500011706932705,0.3064554388894946,-0.20672906534050733,0.2695844677028965,0.41364936515299855,0.2612183322038727,0.13778878182279267,0.1518395419600427,0.3274903922663655,0.28242930455509996,0.38468257263675953,0.43128818087172077,0.20759971844307282,0.3462275597900819,-0.23042176684796492,-0.19704516585194595,0.3292839428209491,0.279818306697371
Bat_Toss,-0.36574824103654374,-0.3579502603109636,0.5496584962412653,-0.3213466705542922,0.4394301276317638,1.0,-0.6044422077816165,0.08747171676446294,-0.15844904754189265,0.21146552944600586,0.47865000432718374,0.28515029115189805,0.21166115376929698,0.2877299502964201,0.11772021784061158,0.028711991996705866,0.2048591398819998,0.25516016779041584,0.31733895095767684,0.06733177768114929,0.07081578187066413,-0.0959529220478274,0.05763944577951765,0.03185302407025136
Field_Toss,0.38587532404545305,0.3885845388941802,-0.5386403509083807,0.5985039130291128,0.4500011706932705,-0.6044422077816165,1.0,0.1769328310832415,-0.02525579987335172,0.028854762728855957,-0.10900258373603089,-0.05181906554656275,-0.0882245177443808,-0.1513877212162578,0.1734069598553222,0.22193205359325455,0.1374988719708965,0.12882458141067327,-0.13137203859606003,0.24011828261988763,-0.27475467375554485,-0.07935993917872576,0.23472730280762324,0.21649377617737192
Win_by_Runs_avg,0.03857783314501803,0.03332717958041513,0.04175859067116734,0.08508878718004256,0.3064554388894946,0.08747171676446294,0.1769328310832415,1.0,-0.15080969238837819,0.21355123999055806,0.037982657350190796,0.028126842364126676,-0.007304738312089164,0.06748213423383677,0.2858251610018128,0.3914238229916468,0.31957654175875594,0.3009755598472992,-0.017046859909410923,0.23060670367027614,-0.27773665443668644,0.17268752389598088,0.2561698013901626,0.49245090930982405
Win_by_Wickets_avg,-0.03840427164579845,-0.044505468182650436,0.013418232742062539,-0.09885835471737635,-0.20672906534050733,-0.15844904754189265,-0.02525579987335172,-0.15080969238837819,1.0,-0.04709460469577651,-0.22217383646090708,-0.1230251920840544,-0.0914696520078702,-0.0324968394774916,-0.020763718354159168,-0.05879088542305421,-0.0882029379344091,-0.0875403317492384,-0.10162943089097778,-0.08854886083917068,0.07831108114896766,-0.1254341734785031,-0.10398737919480681,0.07133658427087923
Extras,-0.34705968210354543,-0.3437577474685448,0.11805616491634528,0.13265115879755904,0.2695844677028965,0.21146552944600586,0.028854762728855957,0.21355123999055806,-0.04709460469577651,1.0,0.30387004616772995,0.14048275041680883,-0.06442050616808408,-0.045492094166590585,0.3938805989627292,0.18112269516656482,0.35757535275909064,0.3655538924452792,0.02490533133693777,0.3997045479722895,-0.35216503797519805,-0.19856832756142648,0.38335307920082057,0.42179250352984565
Dots,-0.1851550069912659,-0.19864902978804022,0.2385810284809086,0.2822717806985554,0.41364936515299855,0.47865000432718374,-0.10900258373603089,0.037982657350190796,-0.22217383646090708,0.30387004616772995,1.0,0.4572049315596534,0.2882323735287595,0.24521522982197178,0.35340952903732364,0.19567031182777142,0.4451435294789616,0.46059437198285785,0.6010594059246155,0.32034925917563173,-0.03749283341910204,-0.28979683191609934,0.29274184914683066,0.017977177833365384
Singles,0.20951089714173604,0.22500433684878846,0.39701865812903736,0.20116458995275865,0.2612183322038727,0.28515029115189805,-0.05181906554656275,0.028126842364126676,-0.1230251920840544,0.14048275041680883,0.4572049315596534,1.0,0.5754786182039331,0.18243364132405443,0.5339271892858638,0.2739431580905763,0.7430046545507343,0.6134036893247999,0.5347628742703696,0.4867218810128559,-0.2204491823594904,-0.3368320929846152,0.4562617942454139,0.29450464957482575
